,bac,avg_percent_open,level,correlation,usage
31,22357,38.5658237,1,0.9958528879999999,low
36,22362,44.62586747,1,0.958734324,low
52,22379,39.27283102,1,0.990739355,low
57,22384,21.30513992,1,0.978525471,low
58,22385,37.35229477,1,0.993509815,low
59,22386,36.45211345,1,0.999379942,low
62,22389,31.46792921,1,0.985834724,low
63,22390,30.93299863,1,0.9796573959999999,low
64,22391,34.71638612,1,0.997796127,low
67,139002,32.56185646,1,0.9371938670000001,low
68,139003,35.07443983,1,0.9105831990000001,low
69,139004,35.43538025,1,0.9413448809999999,low
70,139005,28.33937987,1,0.978186511,low
71,139006,28.91322937,1,0.866073365,low
72,139007,29.98217134,1,0.854309639,low
73,139008,31.12470353,1,0.896030766,low
89,139046,25.7766704,1,0.940284872,low
90,139047,23.2680598,1,0.8817066579999999,low
92,139049,21.89010833,1,0.921163617,low
94,139051,21.45800791,1,0.8688866709999999,low
95,139052,24.407675100000002,1,0.9128414140000001,low
98,139059,20.17076042,1,0.7992348490000001,low
102,139063,20.25339245,1,0.846110945,low
103,139068,23.21640379,1,0.902661488,low
108,139227,27.95627693,1,0.934683377,low
117,139244,36.12773611,1,0.9542297909999999,low
118,139245,29.68036849,1,0.864494834,low
119,139246,26.56811961,1,0.839556278,low
120,139247,31.05584055,1,0.850371188,low
121,139248,33.51066828,1,0.9135759259999999,low
122,139249,34.858078000000006,1,0.9394739520000001,low
123,139251,27.76841206,1,0.928531063,low
124,139252,34.63442968,1,0.9339975070000001,low
126,139255,30.18619671,1,0.86620417,low
127,139256,22.0561227,1,0.8608102190000001,low
128,139257,26.49050771,1,0.849486337,low
129,139260,31.4425087,1,0.964369997,low
130,139261,30.35717091,1,0.913168234,low
131,139262,29.50224806,1,0.8957352409999999,low
132,139263,32.13748916,1,0.9449677959999999,low
134,139276,22.24354085,1,0.923466983,low
135,139277,25.58363925,1,0.9008734840000001,low
136,139278,30.42835683,1,0.932156641,low
138,139280,30.08337982,1,0.919502103,low
139,139281,28.82490376,1,0.911096369,low
140,139282,20.84558654,1,0.9000881470000001,low
141,139283,21.23077524,1,0.88982418,low
142,139284,34.39599713,1,0.9730906109999999,low
145,139295,41.71355458,1,0.9973432329999999,low
146,139428,40.86251499,1,0.96864843,low
147,139430,43.48824806,1,0.9506846040000001,low
148,139433,37.9457359,1,0.817554175,low
149,139434,47.46913969,1,0.976458075,low
150,139435,41.15119028,1,0.9753479890000001,low
151,139436,37.77601558,1,0.944727863,low
152,139437,36.23416962,1,0.9112928140000001,low
153,139438,40.45215775,1,0.815157453,low
154,139439,44.36540591,1,0.980925402,low
155,139443,39.73648563,1,0.979161959,low
156,139445,32.78004433,1,0.948106372,low
157,139446,37.68082918,1,0.937174462,low
158,139447,35.26371776,1,0.9559550379999999,low
159,139449,38.13600547,1,0.9561268909999999,low
160,139451,38.984496899999996,1,0.9606549209999999,low
161,139457,27.78224813,1,0.9520919659999999,low
